部门,车牌号,日期,驾驶行为评分
04无排行无提醒,皖AT0565,2020/8/23,49.63
03无排行有提醒,皖AT0596,2020/8/23,48.6
03无排行有提醒,皖AT0632,2020/8/23,45.31
03无排行有提醒,皖AT0631,2020/8/23,39.71
03无排行有提醒,皖AT0591,2020/8/23,37.86
01有排行有提醒,皖AT0650,2020/8/23,33.84
03无排行有提醒,皖AT0563,2020/8/23,33.77
01有排行有提醒,皖AT0628,2020/8/23,33.06
01有排行有提醒,皖AT0599,2020/8/23,29.94
02有排行无提醒,皖AT0601,2020/8/23,29.33
01有排行有提醒,皖AT0553,2020/8/23,28.02
04无排行无提醒,皖AT0540,2020/8/23,21.17
04无排行无提醒,皖AT0623,2020/8/23,19.03
04无排行无提醒,皖AT0608,2020/8/23,15.97
01有排行有提醒,皖AT0665,2020/8/23,13.3
02有排行无提醒,皖AT0613,2020/8/23,7.64
